Performance
137.086042
Index,Sum
1385,-64640.148438
1386,-71766.242188
1387,-69733.125000
1388,-55594.652344
1389,-66768.515625
1390,-58462.332031
1391,-69577.726563
1392,-64821.519531
1393,-57350.949219
1394,-67992.125000
1395,-56499.070313
1396,-59942.476563
1397,-54295.496094
1398,-70908.203125
1399,-62184.601563
1400,-62299.078125
1401,-68231.421875
1402,-66686.265625
1403,-75387.546875
1404,-70431.078125
1405,-69258.406250
1406,-61747.101563
1407,-81972.375000
1408,-69956.500000
1409,-70288.015625
1410,-66719.890625
1411,-61086.257813
1412,-63002.503906
1413,-68933.492188
1414,-68608.367188
1415,-69833.546875
1416,-54420.046875
1417,-59341.300781
1418,-53618.437500
1419,-58660.480469
1420,-57392.746094
1421,-59771.898438
1422,-50858.328125
1423,-62820.976563
1424,-43430.042969
1425,-55808.046875
1426,-57724.605469
1427,-58323.957031
1428,-53904.917969
1429,-36798.695313
1430,-47125.148438
1431,-56444.398438
1432,-45032.500000
1433,-40373.078125
1434,-42952.367188
1435,-44673.605469
1436,-42626.542969
1437,-41055.886719
1438,-44211.585938
1439,-23836.238281
1440,-28632.193359
1441,-26718.996094
1442,-25247.998047
1443,-32745.041016
1444,-15737.560547
1445,-27132.792969
1446,-30243.482422
1447,-11463.829102
1448,-15630.003906
1449,-12737.816406
1450,-10110.045898
1451,-12241.686523
1452,-7458.220703
1453,-6009.168945
1454,-5801.615234
1455,-1406.347656
1456,4227.836426
1457,5341.888672
1458,7420.714355
1459,5288.513184
1460,23191.013672
1461,13641.590820
1462,9895.590820
1463,9104.286133
1464,19714.208984
1465,10138.426758
1466,16573.722656
1467,14094.787109
1468,17150.285156
1469,24491.457031
1470,27232.222656
1471,30357.308594
1472,17412.009766
1473,34082.328125
1474,29640.511719
1475,26762.787109
1476,40746.566406
1477,40794.261719
1478,43747.031250
1479,47276.253906
1480,39591.582031
1481,48099.007813
1482,47583.457031
1483,51525.414063
1484,49142.691406
1485,46353.859375
1486,36193.890625
1487,58953.507813
1488,62060.539063
1489,51265.121094
1490,57064.046875
1491,56730.972656
1492,38179.324219
1493,61945.832031
1494,54638.476563
1495,66504.367188
1496,71932.414063
1497,60550.136719
1498,51685.957031
1499,58845.558594
1500,62084.363281
1501,75129.726563
1502,66776.023438
1503,67250.914063
1504,71943.726563
1505,72818.648438
1506,67390.078125
1507,62261.437500
1508,55806.902344
1509,68724.617188
1510,67042.015625
1511,63712.335938
1512,61893.765625
1513,69360.562500
1514,74287.109375
1515,59620.015625
1516,64226.453125
1517,49021.656250
1518,65058.996094
1519,58361.351563
1520,57020.449219
1521,68787.312500
1522,45066.417969
1523,62693.585938
1524,61479.835938
1525,61940.089844
1526,49246.230469
1527,62893.621094
1528,59348.046875
1529,52957.109375
1530,63443.460938
1531,51456.191406
1532,64315.101563
1533,41484.144531
1534,60442.332031
1535,49087.332031
1536,33673.691406
1537,49016.011719
1538,39067.914063
1539,51407.378906
1540,37854.718750
1541,31920.351563
1542,38058.886719
1543,32872.945313
1544,29199.626953
1545,42125.742188
1546,29437.521484
1547,34442.230469
1548,23743.072266
1549,28319.207031
1550,26762.271484
1551,18203.527344
1552,23460.064453
1553,25199.126953
1554,26315.871094
1555,28045.468750
1556,10874.480469
1557,-7206.819336
1558,17879.363281
1559,11183.575195
1560,5491.541992
1561,12147.104492
1562,9033.791992
1563,7695.603516
1564,5495.680176
1565,-1485.931885
1566,-5301.773926
1567,-5765.482910
1568,-7287.340332
1569,-8580.540039
1570,-12039.201172
1571,-4879.144531
1572,-7543.630371
1573,-23601.990234
